Company,TypeName,Ram,Weight,Touchscreen,Price,Ips,ppi,Cpu_brand,HDD,SSD,Gpu_brand,os
HP,Notebook,8,2.5,0,3746,1,127.335674571231,Intel Core i5,1000,0,Nvidia,Windows
Razer,Gaming,32,3.49,1,24997,0,254.671349142462,Intel Core i7,0,1000,Nvidia,Windows
HP,Notebook,8,1.49,0,3930,0,165.6321180513,Intel Core i5,0,512,Intel,Windows
HP,Gaming,16,3.35,0,5652,1,127.335674571231,Intel Core i7,0,256,Nvidia,Windows
HP,Notebook,8,2.5,0,4283,0,127.335674571231,Intel Core i7,0,256,Nvidia,Windows
Dell,Gaming,16,2.65,0,7562,1,282.423996164397,Intel Core i7,0,512,Nvidia,Windows
Lenovo,Notebook,4,2.1,0,2021,0,100.454669861136,Intel Core i5,0,128,Intel,Windows
Acer,Notebook,8,2.23,0,3041,0,141.211998082198,Intel Core i7,1000,0,Nvidia,Windows
Lenovo,Gaming,16,3.2,0,7168,1,141.211998082198,Intel Core i7,0,512,Nvidia,Windows
Dell,Workstation,16,2.8,0,12521,0,282.423996164397,Other Intel Processor,0,256,Nvidia,Windows
Lenovo,Gaming,16,2.4,0,5730,0,141.211998082198,Intel Core i7,0,512,Nvidia,Others/No OS/Linux
Dell,Notebook,6,2.3,1,1799,0,100.454669861136,Intel Core i3,1000,0,Intel,Windows
Dell,Ultrabook,8,1.21,1,7988,1,331.264236102601,Intel Core i7,0,256,Intel,Windows
Dell,Ultrabook,8,1.2,0,5939,0,165.6321180513,Intel Core i7,0,256,Intel,Windows
Lenovo,Notebook,8,2.2,0,2447,0,100.454669861136,Intel Core i5,0,256,Intel,Windows
Acer,Notebook,8,2.4,0,3193,0,141.211998082198,Intel Core i7,1000,0,Nvidia,Others/No OS/Linux
Asus,Gaming,16,2.9,0,5767,0,127.335674571231,Intel Core i7,0,256,Nvidia,Windows
HP,Notebook,4,2.1,0,1430,0,141.211998082198,Intel Core i3,500,0,Intel,Others/No OS/Linux
Lenovo,Notebook,8,2.2,0,2250,0,141.211998082198,Intel Core i5,0,256,Intel,Others/No OS/Linux
Huawei,Ultrabook,8,1.05,0,6144,1,199.692070641082,Intel Core i7,0,512,Intel,Windows
Dell,Ultrabook,8,1.4,0,3819,1,165.6321180513,Intel Core i7,0,256,AMD,Windows
Lenovo,Notebook,8,2.8,0,2414,0,106.113062142692,Intel Core i5,1000,0,Nvidia,Others/No OS/Linux
HP,Notebook,8,1.63,0,4226,0,157.350512148735,Intel Core i7,0,256,Nvidia,Windows
Dell,Ultrabook,8,1.6,0,4709,0,157.350512148735,Intel Core i5,0,256,Intel,Windows
Dell,2 in 1 Convertible,16,1.62,1,5242,0,165.6321180513,Intel Core i7,0,512,Intel,Windows
Dell,Notebook,8,2.2,0,2776,0,141.211998082198,Intel Core i5,0,256,AMD,Others/No OS/Linux
Lenovo,2 in 1 Convertible,8,1.74,0,3685,1,157.350512148735,Intel Core i5,0,256,Intel,Windows
Toshiba,Ultrabook,8,1.2,0,5586,0,165.6321180513,Intel Core i7,0,256,Intel,Windows
HP,Notebook,8,2.1,0,3254,0,141.211998082198,Intel Core i5,1000,0,Intel,Windows
Dell,Gaming,16,4.42,0,10067,1,127.335674571231,Intel Core i7,0,256,Nvidia,Windows
Acer,Notebook,8,2.2,0,3410,0,141.211998082198,Intel Core i7,0,256,Nvidia,Windows
Dell,Notebook,16,2.3,1,3521,0,141.211998082198,Intel Core i7,1000,0,AMD,Windows
Asus,Notebook,8,2.0,0,3152,0,141.211998082198,Intel Core i5,0,256,Nvidia,Windows
Asus,Notebook,8,2.69,0,3652,0,127.335674571231,Intel Core i5,0,256,Nvidia,Windows
HP,Notebook,8,1.9,0,5201,0,141.211998082198,Intel Core i7,1000,0,AMD,Windows
Asus,Notebook,4,2.37,0,1635,0,100.454669861136,Intel Core i3,1000,0,Intel,Windows
HP,Notebook,4,2.1,0,1352,0,100.454669861136,AMD Processor,500,0,AMD,Windows
Lenovo,Gaming,16,3.2,0,6144,1,141.211998082198,Intel Core i7,0,256,Nvidia,Windows
Dell,Notebook,8,1.6,0,3521,0,157.350512148735,Intel Core i5,0,256,Intel,Windows
Acer,2 in 1 Convertible,8,1.6,1,2824,1,165.6321180513,Intel Core i5,0,256,Intel,Windows
Dell,Notebook,16,2.36,0,3685,0,141.211998082198,Intel Core i7,0,256,AMD,Others/No OS/Linux
Acer,Notebook,4,2.1,0,1598,0,100.454669861136,Intel Core i3,1000,0,Intel,Others/No OS/Linux
Asus,Notebook,4,2.2,0,2357,0,141.211998082198,AMD Processor,0,128,AMD,Windows
Asus,Gaming,32,4.7,0,15943,0,127.335674571231,Intel Core i7,0,512,Nvidia,Windows
Acer,Gaming,8,2.5,0,3467,1,141.211998082198,Intel Core i5,0,256,Nvidia,Windows
Lenovo,Notebook,8,2.2,0,2414,0,100.454669861136,Intel Core i3,0,128,Intel,Windows
Asus,Notebook,8,2.1,0,4693,0,127.335674571231,Intel Core i7,0,128,Nvidia,Windows
Asus,Notebook,8,2.69,0,3644,0,127.335674571231,Intel Core i7,0,128,Nvidia,Others/No OS/Linux
Dell,Gaming,8,2.56,0,3603,0,141.211998082198,Intel Core i5,0,256,Nvidia,Windows
Lenovo,2 in 1 Convertible,8,1.38,1,4422,1,158.482530221748,Intel Core i7,0,256,Intel,Windows
Dell,Notebook,8,2.2,0,4037,0,141.211998082198,Intel Core i7,0,128,AMD,Windows
HP,Notebook,8,2.04,1,2291,0,100.454669861136,Intel Core i5,1000,0,Intel,Windows
Asus,Gaming,16,3.6,0,12291,0,127.335674571231,Intel Core i7,0,256,Nvidia,Windows
HP,Notebook,4,1.49,0,2766,1,165.6321180513,Intel Core i5,500,0,Intel,Windows
Apple,Ultrabook,8,1.37,0,8361,1,226.983004681061,Intel Core i5,0,512,Intel,Mac
Dell,2 in 1 Convertible,8,2.08,1,3357,1,141.211998082198,Intel Core i7,1000,0,Intel,Windows
Asus,Gaming,16,4.3,0,7373,0,127.335674571231,Intel Core i7,0,256,Nvidia,Windows
Asus,Notebook,4,1.68,0,1922,0,100.454669861136,AMD Processor,1000,0,AMD,Windows
Lenovo,2 in 1 Convertible,8,1.37,1,7578,1,158.482530221748,Intel Core i7,0,512,Intel,Windows
Acer,Notebook,4,3.0,0,2877,1,127.335674571231,Intel Core i3,0,256,Nvidia,Windows
Dell,Ultrabook,8,1.41,0,3889,0,165.6321180513,Intel Core i5,0,256,Intel,Windows
HP,Notebook,8,1.91,0,1828,0,100.454669861136,AMD Processor,0,128,AMD,Windows
HP,Notebook,16,2.9,0,4340,1,127.335674571231,Intel Core i7,1000,0,Nvidia,Windows
MSI,Gaming,16,4.14,0,10242,0,127.335674571231,Intel Core i7,0,512,Nvidia,Windows
Lenovo,2 in 1 Convertible,8,2.0,1,6963,1,141.211998082198,Intel Core i7,0,512,Nvidia,Windows
Dell,Notebook,8,2.8,0,4680,0,127.335674571231,Intel Core i7,0,128,AMD,Windows
Lenovo,Notebook,4,2.2,0,1820,0,141.211998082198,Intel Core i3,0,256,Intel,Others/No OS/Linux
HP,Notebook,4,2.1,0,2959,1,141.211998082198,Intel Core i5,500,0,Intel,Windows
Dell,Notebook,4,2.18,0,2693,0,141.211998082198,Intel Core i5,1000,0,Intel,Windows
Dell,Notebook,8,2.24,0,2316,0,141.211998082198,Intel Core i5,1000,0,AMD,Windows
Dell,2 in 1 Convertible,8,2.67,1,3275,0,141.211998082198,Intel Core i5,0,256,Intel,Windows
Asus,2 in 1 Convertible,8,1.1,1,6144,0,165.6321180513,Intel Core i7,0,512,Intel,Windows
